Year,Team,Conf,Seed,Wins,Losses,KenPom,AdjEM,AdjO,AdjD,AdjT,Luck,SOS AdjEM,OppO,OppD,NCSOS AdjEM,AdjO_rank,AdjD_rank,AdjT_rank,Luck_rank,SOS AdjEM_rank,OppO_rank,OppD_rank,NCSOS AdjEM_rank
2018,Villanova,BE,1,31,4,1,31.7,127.6,95.9,68.4,-0.02,9.91,110.8,100.9,4.14,1,24,167,231,22,25,30,60
2018,Virginia,ACC,1,31,3,2,29.49,115.3,85.8,59.4,0.048,9.39,110.3,100.9,0.22,32,1,351,66,31,31,31,154
2018,Duke,ACC,2,27,7,3,28.95,122.5,93.5,69.9,-0.029,10.16,110.5,100.3,4.28,3,8,85,261,19,27,12,57
2018,Cincinnati,Amer,2,31,4,4,27.13,113.4,86.3,64.5,-0.004,3.17,106.8,103.6,-4.07,50,2,327,189,85,99,89,292
2018,Purdue,B10,2,29,6,5,26.9,122.8,95.9,67.3,0.001,8.12,108.8,100.7,0.84,2,26,218,174,47,60,22,145
2018,Michigan St.,B10,3,30,4,6,25.79,120,94.3,67.1,0.055,6.34,108.7,102.4,-4.88,9,11,223,59,62,62,68,302
2018,North Carolina,ACC,2,26,10,7,24.66,121.3,96.7,71,-0.018,13.18,111.8,98.6,7.8,4,35,50,227,1,2,1,16
2018,Gonzaga,WCC,4,31,4,8,24.35,119.1,94.7,69.2,0.002,1.11,106.3,105.2,3.11,13,14,116,171,119,108,143,80
2018,Kansas,B12,1,28,7,9,23.43,120.8,97.4,68.5,0.06,11.17,111.1,99.9,3.55,6,45,163,53,7,16,10,77
2018,Michigan,B10,3,29,7,10,23.41,115.1,91.7,64.5,0.037,8.66,110.8,102.1,-4.55,34,4,332,85,41,24,64,300
2018,Tennessee,SEC,3,26,8,11,22.63,114.8,92.1,66.2,0.036,11.18,111.5,100.4,7.48,39,5,271,87,6,8,16,19
2018,West Virginia,B12,5,25,10,12,22.26,119.6,97.3,69,-0.007,10.37,109.7,99.3,-4.55,12,44,127,196,16,43,2,299
2018,Texas Tech,B12,3,25,9,13,21.99,113.7,91.7,66.6,-0.016,9.06,110,101,-5.15,48,3,252,220,36,38,33,310
2018,Xavier,BE,1,29,5,14,21.63,120.6,99,70.7,0.106,9.04,109.9,100.8,2.09,7,62,58,9,37,41,26,103
2018,Ohio St.,B10,5,25,8,15,21.05,115.8,94.8,66.7,0.033,8.08,109.6,101.5,0.44,24,16,248,96,50,44,51,151
2018,Kentucky,SEC,5,25,10,16,20.44,116.2,95.8,68.8,0.006,11.14,110.9,99.8,4.8,23,23,142,159,8,21,8,46
2018,Auburn,SEC,4,26,7,17,20.34,116.8,96.4,72.5,-0.004,7.42,108.9,101.5,-1.63,19,31,19,185,56,56,52,207
2018,Houston,Amer,6,27,7,18,20.28,115,94.8,68.4,0.001,3.57,106.6,103,-2.84,36,15,166,175,82,101,75,250
2018,Clemson,ACC,5,24,9,19,20.27,113.9,93.6,65.9,0.007,9.56,110.4,100.8,-1.65,45,9,287,155,30,29,25,209
2018,Wichita St.,Amer,4,25,8,20,19.16,121.3,102.1,68.6,-0.026,5.42,107.5,102.1,1.85,5,110,160,255,71,76,63,111
2018,Florida,SEC,6,21,12,21,19.13,114.7,95.6,67.1,-0.046,10.62,110.5,99.8,4.48,40,20,226,287,12,28,9,52
2018,Butler,BE,10,21,13,22,18.63,115.7,97.1,67.9,-0.034,10.62,111.8,101.2,0.13,25,40,192,271,13,1,42,159
2018,TCU,B12,6,21,12,23,18.52,119.8,101.2,68.6,-0.067,9.9,111.1,101.2,-0.66,11,99,157,322,23,17,41,181
2018,Nevada,MWC,7,28,7,24,18.13,120.1,102,69.5,-0.021,4.5,107,102.5,3.96,8,107,100,234,76,91,70,65
2018,Saint Mary's,WCC,,29,5,25,17.86,120,102.1,63.8,0.004,-1.9,104.1,106,-4.01,10,111,341,161,190,198,192,291
2018,Seton Hall,BE,8,22,11,26,17.78,116.9,99.1,69.4,-0.016,9.65,110.3,100.7,0.21,17,64,105,222,29,30,23,155
