Year,Team,Conf,Seed,Wins,Losses,KenPom,AdjEM,AdjO,AdjD,AdjT,Luck,SOS AdjEM,OppO,OppD,NCSOS AdjEM,AdjO_rank,AdjD_rank,AdjT_rank,Luck_rank,SOS AdjEM_rank,OppO_rank,OppD_rank,NCSOS AdjEM_rank
2018,Villanova,BE,1,33,4,1,32.34,127.5,95.2,68.6,-0.019,10.2,111.1,100.9,4,1,14,159,229,19,19,30,61
2018,Virginia,ACC,1,31,3,2,29.57,115.4,85.8,59.4,0.048,9.3,110.2,100.9,-0.06,30,1,351,66,36,35,33,160
2018,Duke,ACC,2,29,7,3,29.27,123.2,93.9,69.7,-0.022,10.27,110.3,100.1,4.12,2,9,92,235,17,32,11,58
2018,Cincinnati,Amer,2,31,5,4,26.62,113.6,87,64.5,-0.019,3.52,107.1,103.6,-4.12,49,2,332,230,86,89,90,291
2018,Purdue,B10,2,30,7,5,26.09,122.8,96.7,67.2,0.006,8.87,109.3,100.4,0.7,3,34,222,164,42,53,17,144
2018,Michigan St.,B10,3,30,5,6,25.27,119.3,94.1,67,0.038,6.51,108.7,102.2,-5.07,13,10,231,83,62,63,67,305
2018,Michigan,B10,3,32,7,7,24.24,115.4,91.1,64.6,0.048,9.42,111.1,101.7,-4.81,31,3,326,65,33,16,54,301
2018,North Carolina,ACC,2,26,11,8,23.64,120.5,96.9,71.2,-0.011,13.34,111.9,98.5,7.62,6,37,46,207,1,3,1,16
2018,Kansas,B12,1,30,7,9,23.54,121.1,97.5,68.7,0.073,11.52,111.3,99.8,3.57,5,46,149,30,5,11,4,71
2018,Gonzaga,WCC,4,32,5,10,23.09,118.3,95.2,69.4,0.009,1.72,106.7,105,3.09,14,17,106,153,107,102,126,79
2018,Texas Tech,B12,3,27,9,11,22.85,114.1,91.2,66.7,-0.004,9.74,110.5,100.8,-5.21,46,4,247,186,29,30,26,309
2018,West Virginia,B12,5,26,11,12,22.46,119.6,97.1,69.2,-0.014,10.66,110.2,99.5,-4.67,11,41,120,214,14,37,2,299
2018,Tennessee,SEC,3,26,9,13,22.35,114.9,92.6,66,0.019,11.13,111.5,100.4,7.13,37,6,282,125,8,9,15,20
2018,Clemson,ACC,5,25,10,14,21.7,114.5,92.8,66.1,-0.009,10.3,110.8,100.6,-1.83,43,7,274,204,16,25,21,210
2018,Xavier,BE,1,29,6,15,21.26,120.2,98.9,70.5,0.091,9.19,110.1,100.9,1.87,8,61,61,17,38,38,31,109
2018,Ohio St.,B10,5,25,9,16,20.94,116.2,95.2,67,0.02,8.58,109.9,101.3,0.32,23,16,236,124,46,42,45,151
2018,Kentucky,SEC,5,26,11,17,20.49,116,95.6,68.8,-0.008,11,111,100,4.6,24,22,144,200,10,20,10,47
2018,Houston,Amer,6,27,8,18,20.27,114.8,94.6,68.4,-0.015,3.98,106.9,102.9,-2.91,39,12,167,216,81,94,74,248
2018,Florida,SEC,6,21,13,19,19.07,114.7,95.7,67.1,-0.059,10.89,110.6,99.7,4.71,41,24,224,310,12,29,3,44
2018,Wichita St.,Amer,4,25,8,20,19.02,121.2,102.2,68.5,-0.026,5.16,107.5,102.4,1.58,4,110,162,254,75,79,68,113
2018,Auburn,SEC,4,26,8,21,18.78,115.7,96.9,72.6,0.034,7.63,109.1,101.5,-1.79,25,38,18,94,56,56,49,208
2018,Butler,BE,10,21,14,22,18.76,116.3,97.6,67.6,-0.047,11.01,112.1,101.1,0.14,22,47,206,290,9,1,39,154
2018,TCU,B12,6,21,12,23,18.52,119.9,101.4,68.6,-0.067,9.75,111,101.2,-0.78,9,100,160,322,26,22,41,178
2018,Nevada,MWC,7,29,8,24,18.48,120.4,101.9,69.5,-0.026,5.25,107.3,102,3.77,7,107,104,255,72,86,62,66
2018,Penn St.,B10,,24,13,25,17.83,113.3,95.4,67.5,-0.054,7.16,109.8,102.6,-6.34,52,19,212,301,58,46,71,322
2018,Florida St.,ACC,9,23,12,26,17.8,114.5,96.7,71.3,-0.029,9.33,109.9,100.5,-6.85,42,33,45,261,34,43,20,330
2018,Seton Hall,BE,8,22,12,27,17.79,117,99.2,69.5,-0.028,9.94,110.7,100.7,0,18,64,103,260,22,28,24,157
2018,Arizona,P12,4,27,8,28,17.76,118.3,100.5,67.1,0.036,6.06,108.7,102.7,2.56,15,83,223,88,66,64,72,87
2018,Texas A&M,SEC,7,22,13,29,16.99,111.6,94.6,69.5,0.014,11.74,112,100.3,5.04,66,13,101,140,4,2,13,38
2018,Loyola Chicago,MVC,11,32,5,30,16.71,112.1,95.4,65.2,0.08,1.96,104.8,102.8,-5.67,60,18,315,20,104,171,73,316
2018,Creighton,BE,8,21,12,31,16.64,115.6,99,70.8,-0.028,9.2,110.9,101.7,-4.19,26,62,57,259,37,24,56,293
2018,Saint Mary's,WCC,,30,6,32,16.27,119.7,103.4,63.5,0.006,-1.97,104.1,106.1,-4.19,10,134,341,162,185,199,183,292
2018,Virginia Tech,ACC,8,21,12,33,16.09,115.5,99.5,68.7,-0.018,8,109.5,101.5,-9.69,29,70,146,228,53,47,51,343
2018,Baylor,B12,,19,15,34,16.09,111.7,95.7,66.7,-0.079,10.11,111.2,101.1,-3.71,63,23,249,335,20,14,36,280
2018,Notre Dame,ACC,,21,15,35,15.77,115.1,99.3,65.4,-0.058,8.65,110.1,101.4,-1.71,35,66,312,309,44,39,47,205
2018,Texas,B12,10,19,15,36,15.49,109.7,94.2,65.2,-0.03,11.86,111.7,99.8,2.09,90,11,316,263,2,6,6,99
2018,Miami FL,ACC,6,22,10,37,15.47,113.1,97.6,67,0.017,8.15,109.3,101.2,-3.78,53,48,232,128,50,51,40,284
2018,Louisville,ACC,,22,14,38,15.44,112.4,97,69.7,-0.005,8.95,109.8,100.9,-2.52,57,39,95,189,41,44,29,237
2018,Missouri,SEC,8,20,13,39,14.92,112.2,97.2,65.7,-0.025,9.68,110,100.4,1.09,59,43,297,249,30,40,16,133
2018,Syracuse,ACC,11,23,14,40,14.84,107.3,92.4,62.9,0.021,9.86,111.6,101.7,-0.25,135,5,345,119,23,7,55,166
2018,Maryland,B10,,19,13,41,14.83,114.2,99.4,66.3,-0.046,8.01,108.9,100.9,-4.19,44,69,266,286,52,61,32,294
2018,Kansas St.,B12,9,25,12,42,14.83,110.3,95.5,65.6,0.071,9.47,111.3,101.8,-6.44,78,21,300,32,32,12,57,324
2018,Arkansas,SEC,7,23,12,43,14.76,116.6,101.8,69.7,0.059,10.01,110.7,100.7,0.9,20,106,93,56,21,26,23,141
2018,Western Kentucky,CUSA,,27,10,44,14.71,115.1,100.4,68.8,0.008,3.45,107,103.5,3.77,34,82,143,154,88,92,88,65
2018,Davidson,A10,12,21,12,45,14.69,117.2,102.5,64.5,-0.063,2.14,105.9,103.7,1.42,16,118,331,318,103,117,93,121
2018,Middle Tennessee,CUSA,,25,8,46,14.69,111.5,96.9,66.5,0.008,3.62,107.7,104.1,7.72,67,36,259,155,82,76,102,15
2018,North Carolina St.,ACC,9,21,12,47,14.52,116.6,102.1,71.4,-0.001,7.74,108.8,101.1,-9.65,21,108,39,180,54,62,38,342
2018,Mississippi St.,SEC,,25,11,48,14.3,110.9,96.6,67.5,0.042,6.72,108.6,101.9,-10.51,75,31,214,71,61,65,58,345
2018,Arizona St.,P12,11,20,12,49,14.21,117,102.8,71.3,-0.083,5.6,107.6,102,1.06,17,122,43,340,70,77,63,134
