Year,Team,Conf,Seed,Wins,Losses,KenPom,AdjEM,AdjO,AdjD,AdjT,Luck,SOS AdjEM,OppO,OppD,NCSOS AdjEM,AdjO_rank,AdjD_rank,AdjT_rank,Luck_rank,SOS AdjEM_rank,OppO_rank,OppD_rank,NCSOS AdjEM_rank
2018,Villanova,BE,1,32,4,1,32.2,127.6,95.4,68.3,-0.021,9.95,110.8,100.8,4.03,1,19,175,235,21,24,30,62
2018,Virginia,ACC,1,31,3,2,29.73,115.4,85.7,59.4,0.048,9.5,110.3,100.8,0.04,30,1,351,66,30,32,27,157
2018,Duke,ACC,2,28,7,3,29.62,122.9,93.3,69.8,-0.03,10.23,110.5,100.2,4.17,3,8,86,264,16,30,12,57
2018,Purdue,B10,2,30,6,4,26.83,123.3,96.5,67,0.01,8.44,109,100.6,0.87,2,32,230,148,48,55,20,144
2018,Cincinnati,Amer,2,31,5,5,26.55,113.5,87,64.4,-0.019,3.49,107.1,103.6,-4.21,49,2,331,230,87,91,88,294
2018,Michigan St.,B10,3,30,5,6,25.19,119.2,94.1,67,0.038,6.49,108.7,102.2,-5.02,13,11,231,82,61,63,66,303
2018,Gonzaga,WCC,4,32,4,7,24.6,119.5,94.9,69.5,0.008,1.71,106.6,104.9,3.17,12,14,101,154,109,103,128,79
2018,North Carolina,ACC,2,26,11,8,23.72,120.6,96.9,71.2,-0.011,13.44,111.8,98.4,7.6,8,35,46,206,1,3,1,16
2018,Kansas,B12,1,29,7,9,23.53,121,97.5,68.5,0.066,11.39,111.2,99.8,3.71,5,46,163,36,4,12,7,72
2018,Michigan,B10,3,30,7,10,23.27,114.8,91.5,64.5,0.046,8.9,110.9,102,-4.75,37,3,329,69,40,23,59,301
2018,West Virginia,B12,5,26,10,11,22.69,119.8,97.1,68.9,-0.007,10.16,109.7,99.5,-4.53,11,40,128,195,17,44,2,298
2018,Tennessee,SEC,3,26,9,12,22.24,114.7,92.5,66,0.019,11.1,111.5,100.4,7.2,38,6,281,124,8,8,14,20
2018,Texas Tech,B12,3,26,9,13,22.08,113.7,91.6,66.6,-0.006,9.35,110.2,100.8,-5.22,48,4,250,194,33,34,28,310
2018,Clemson,ACC,5,25,9,14,21.83,114.4,92.5,65.9,0.004,9.9,110.5,100.6,-1.83,42,7,285,167,22,29,23,212
2018,Xavier,BE,1,29,6,15,21.25,120.1,98.8,70.5,0.091,9.24,110.1,100.9,1.88,9,59,62,17,36,37,32,109
2018,Ohio St.,B10,5,25,9,16,20.96,116.1,95.2,66.9,0.02,8.62,109.9,101.3,0.43,24,17,236,123,43,41,44,151
2018,Kentucky,SEC,5,26,10,17,20.88,116.6,95.7,68.8,0.004,10.98,111,100,4.78,21,23,137,166,11,18,10,44
2018,Houston,Amer,6,27,8,18,20.18,114.7,94.5,68.4,-0.015,3.96,106.8,102.8,-2.96,39,13,165,216,81,99,73,251
2018,Florida,SEC,6,21,13,19,19.02,114.6,95.6,67.1,-0.059,10.87,110.6,99.7,4.63,41,21,224,308,12,28,4,47
2018,Wichita St.,Amer,4,25,8,20,19.01,121.1,102.1,68.5,-0.026,5.2,107.5,102.3,1.69,4,110,160,255,74,82,68,112
2018,Butler,BE,10,21,14,21,18.82,116.3,97.4,67.6,-0.047,11.1,112.2,101.1,0.15,23,43,204,291,9,1,39,154
2018,Auburn,SEC,4,26,8,22,18.73,115.6,96.9,72.6,0.034,7.64,109,101.4,-1.82,25,36,19,94,56,54,48,211
2018,Nevada,MWC,7,29,7,23,18.64,120.7,102.1,69.4,-0.012,5.04,107.1,102.1,3.91,6,109,105,209,75,89,63,65
2018,TCU,B12,6,21,12,24,18.58,119.9,101.3,68.6,-0.067,9.86,111,101.1,-0.69,10,100,158,322,23,20,40,179
2018,Texas A&M,SEC,7,22,12,25,17.92,111.4,93.5,69.3,0.002,11.38,111.9,100.5,5.19,66,10,110,175,5,2,19,37
2018,Seton Hall,BE,8,22,12,26,17.84,116.9,99.1,69.5,-0.028,10.05,110.7,100.6,0.08,17,62,102,260,20,26,22,156
2018,Arizona,P12,4,27,8,27,17.75,118.2,100.5,67.1,0.036,6.09,108.7,102.6,2.71,15,84,223,87,67,62,72,85
2018,Saint Mary's,WCC,,30,5,28,17.59,120.7,103.1,63.7,0.012,-1.81,104.1,105.9,-4.08,7,130,341,143,184,195,183,291
2018,Penn St.,B10,,23,13,29,17.54,112.6,95.1,67.5,-0.063,6.8,109.4,102.6,-6.29,57,16,209,317,59,48,71,323
2018,Florida St.,ACC,9,22,11,30,16.93,115.2,98.3,71.5,-0.019,8.54,109.3,100.8,-6.82,31,55,37,231,46,50,29,330
2018,Louisville,ACC,,22,13,31,16.87,113.1,96.2,69.6,-0.009,8.98,109.9,100.9,-2.42,53,28,94,203,38,40,34,234
2018,Creighton,BE,8,21,12,32,16.72,115.6,98.9,70.8,-0.028,9.33,111,101.6,-4.14,26,60,57,259,35,21,54,292
2018,Virginia Tech,ACC,8,21,12,33,16.2,115.5,99.3,68.7,-0.018,8.14,109.5,101.4,-9.69,27,67,147,229,51,45,49,344
2018,Baylor,B12,,19,15,34,16.06,111.7,95.6,66.7,-0.079,10.14,111.1,101,-3.78,62,22,246,335,18,13,37,284
2018,Notre Dame,ACC,,21,15,35,15.8,115.1,99.3,65.3,-0.058,8.73,110,101.3,-1.67,32,66,312,307,41,38,47,205
2018,Loyola Chicago,MVC,11,30,5,36,15.63,111.7,96,65,0.075,0.97,104,103.1,-5.7,63,27,319,25,124,205,77,316
2018,Texas,B12,10,19,15,37,15.53,109.7,94.1,65.2,-0.03,11.95,111.7,99.7,2.15,89,12,315,262,2,5,5,98
2018,Miami FL,ACC,6,22,10,38,15.45,113,97.5,67,0.017,8.19,109.4,101.2,-3.75,55,47,233,128,50,49,41,283
2018,Kansas St.,B12,9,24,11,39,15.25,110.8,95.5,65.6,0.066,8.94,111,102.1,-6.37,75,20,303,37,39,16,64,324
2018,Missouri,SEC,8,20,13,40,14.82,112,97.2,65.6,-0.025,9.63,110,100.4,1.08,59,41,298,250,28,39,15,135
2018,Arkansas,SEC,7,23,12,41,14.77,116.6,101.8,69.7,0.059,10.06,110.7,100.6,1,19,106,93,57,19,27,21,139
2018,Maryland,B10,,19,13,42,14.74,114.2,99.4,66.3,-0.046,7.99,108.8,100.8,-4.15,44,69,266,287,53,60,31,293
2018,Davidson,A10,12,21,12,43,14.71,117.1,102.4,64.4,-0.063,2.2,105.9,103.7,1.47,16,117,332,318,102,118,91,122
2018,Syracuse,ACC,11,23,13,44,14.63,106.8,92.2,63,0.033,9.4,111.3,101.9,-0.19,139,5,345,96,31,10,57,165
2018,Middle Tennessee,CUSA,,25,8,45,14.63,111.5,96.9,66.5,0.008,3.59,107.6,104,7.81,65,34,259,155,84,77,101,14
2018,North Carolina St.,ACC,9,21,12,46,14.54,116.5,102,71.4,-0.001,7.8,108.8,101,-9.67,22,107,40,182,54,61,36,343
2018,San Diego St.,MWC,11,22,11,47,14.25,110.7,96.4,68.8,-0.032,3.71,107.6,103.8,-0.45,76,30,143,265,82,79,94,173
2018,Oklahoma,B12,10,18,14,48,14.24,114.8,100.6,75.5,-0.008,11.86,111.5,99.7,2.15,36,85,4,199,3,7,3,99
2018,Arizona St.,P12,11,20,12,49,14.19,116.9,102.7,71.3,-0.083,5.63,107.6,102,1.3,18,122,44,340,69,76,60,125
2018,Western Kentucky,CUSA,,26,10,50,14.12,114.2,100.1,68.7,0.003,2.98,106.7,103.7,3.85,43,80,150,171,91,102,93,67
2018,USC,P12,,24,12,51,14.09,114.7,100.6,67.6,-0.017,5.25,108.5,103.2,1.62,40,87,200,223,73,66,81,113
2018,Rhode Island,A10,7,26,8,52,13.95,111.3,97.4,68.3,0.063,3.56,107.8,104.2,3.91,68,42,172,44,86,75,107,66
2018,Marquette,BE,,21,13,53,13.68,119,105.3,69.6,0.032,9.75,111,101.3,-0.55,14,176,99,97,24,17,46,175
2018,Oklahoma St.,B12,,21,14,54,13.53,111.4,97.9,68.8,0.008,9.4,110.9,101.5,-5.14,67,51,142,157,32,22,53,309
2018,UCLA,P12,11,21,12,55,13.49,115.1,101.6,70.3,-0.027,6.49,108.3,101.9,2.96,33,103,70,257,63,69,56,83
2018,Alabama,SEC,9,20,16,56,13.48,108.9,95.4,68.7,0.017,11.33,111.1,99.8,2.67,105,18,148,130,6,14,6,86
2018,Nebraska,B10,,22,11,57,13.21,110.7,97.5,67.4,0.055,6.9,108.4,101.5,-3.11,77,45,214,60,58,67,52,262
2018,New Mexico St.,WAC,12,28,6,58,13.07,108.1,95,68.5,0.027,-1.19,104.3,105.5,3.97,116,15,164,107,171,188,155,64
2018,Boise St.,MWC,,23,9,59,12.96,110,97.1,68.8,-0.006,2.38,106.8,104.4,-1.83,82,39,141,192,100,97,116,213
2018,Mississippi St.,SEC,,24,11,60,12.82,110.3,97.5,67.5,0.046,6.28,108.3,102,-10.43,78,44,210,68,65,71,61,345
2018,Utah,P12,,21,11,61,12.49,112.1,99.6,65.8,0.018,5.28,108.5,103.2,-1.1,58,74,288,126,72,65,82,186
2018,Murray St.,OVC,12,26,6,62,12.4,113.2,100.8,67.2,-0,-3.27,103.2,106.4,-1.05,52,92,221,180,239,251,213,184
2018,Old Dominion,CUSA,,25,7,63,11.99,108.9,96.9,64.5,0.041,-1.33,104.5,105.8,-3.39,103,37,330,77,175,180,177,274
2018,Providence,BE,10,21,14,64,11.96,109,97,67.1,0.074,10.49,111.8,101.3,-1.31,100,38,222,27,14,4,45,193
2018,Georgia,SEC,,18,15,65,11.74,107.7,96,64.4,0.01,10.3,111.2,100.9,0.77,122,26,334,146,15,11,35,145
2018,Buffalo,MAC,13,27,9,66,11.62,115,103.4,72.7,0.006,0.1,105.3,105.2,4.07,35,135,17,160,139,144,145,60
2018,LSU,SEC,,18,15,67,11.58,115,103.4,68.7,-0.018,8.67,110.2,101.5,-2.92,34,136,145,226,42,35,51,249
2018,St. Bonaventure,A10,11,26,8,68,11.19,110.9,99.7,69.4,0.078,2.86,107.2,104.3,1.24,74,76,104,21,95,86,109,127
