year,round,seed1,team1,score1,seed2,team2,score2 
1985,1,1,Oklahoma,96,16,North Carolina A&T,83
1985,1,5,Washington,58,12,Kentucky,66
1985,1,4,Loyola (Ill.),59,13,Iona,58
1985,1,5,Southern Methodist,85,12,Old Dominion,68
1985,1,4,UNLV,85,13,San Diego State,80
1985,1,8,Temple,60,9,Virginia Tech,57
1985,1,1,St. John's,83,16,Southern,59
1985,1,3,Kansas,49,14,Ohio,38
1985,1,8,Iowa,54,9,Arkansas,63
2017,2,1,Villanova,62,8,Wisconsin,65
2017,2,5,Notre Dame,71,4,West Virginia,83
2017,2,1,Virginia,39,4,Florida,65
2017,2,11,Xavier,91,3,Florida State,66
2017,2,1,Gonzaga,79,8,Northwestern,73
2017,2,7,St. Mary's (Cal.),60,2,Arizona,69
2017,2,5,Iowa State,76,4,Purdue,80
2017,2,12,Middle Tennessee State,65,4,Butler,74
2017,2,7,Michigan,73,2,Louisville,69
2017,2,10,Wichita State,62,2,Kentucky,65
2017,2,1,Kansas,90,9,Michigan State,70
2017,2,1,North Carolina,72,8,Arkansas,65
2017,2,11,Rhode Island,72,3,Oregon,75
2017,2,11,Southern California,78,3,Baylor,82
2017,2,7,South Carolina,88,2,Duke,81
2017,2,6,Cincinnati,67,3,UCLA,79
2016,2,1,Kansas,73,9,Connecticut,61
2016,2,11,Wichita State,57,3,Miami (Fla.),65
2016,2,12,Yale,64,4,Duke,71
2016,2,1,North Carolina,85,9,Providence,66
2016,2,5,Indiana,73,4,Kentucky,67
2016,2,1,Virginia,77,9,Butler,69
2016,2,12,Arkansas-Little Rock,61,4,Iowa State,78
2016,2,11,Gonzaga,82,3,Utah,59
2016,2,2,Villanova,87,7,Iowa,68
2016,2,6,Notre Dame,76,14,Stephen F. Austin,75
2016,2,2,Oklahoma,85,10,Virginia Commonwealth,81
2016,2,10,Syracuse,75,15,Middle Tennessee State,50
2016,2,5,Maryland,73,13,Hawaii,60
2016,2,3,Texas A&M,92,11,Northern Iowa,88
2016,2,2,Xavier,63,7,Wisconsin,66
2016,2,1,Oregon,69,8,St. Joseph's,64
2015,2,6,Butler,64,3,Notre Dame,67
2015,2,11,UCLA,92,14,Alabama-Birmingham,75
2015,2,6,Xavier,75,14,Georgia State,67
2015,2,10,Ohio State,58,2,Arizona,73
2015,2,1,Villanova,68,8,North Carolina State,71
2015,2,5,Arkansas,78,4,North Carolina,87
2015,2,1,Kentucky,64,8,Cincinnati,51
2015,2,5,Utah,75,4,Georgetown,64
2015,2,7,Wichita State,78,2,Kansas,65
2015,2,7,Michigan State,60,2,Virginia,54
2015,2,5,Northern Iowa,53,4,Louisville,66
2015,2,5,West Virginia,69,4,Maryland,59
2015,2,1,Wisconsin,72,8,Oregon,65
2015,2,1,Duke,68,8,San Diego State,49
2015,2,7,Iowa,68,2,Gonzaga,87
2015,2,11,Dayton,66,3,Oklahoma,72
2014,2,11,Dayton,55,3,Syracuse,53
2014,2,7,Oregon,77,2,Wisconsin,85
2014,2,1,Florida,61,9,Pittsburgh,45
2014,2,12,Harvard,73,4,Michigan State,80
2014,2,7,Texas,65,2,Michigan,79
2014,2,7,Connecticut,77,2,Villanova,65
2014,2,5,St. Louis,51,4,Louisville,66
2014,2,12,North Dakota State,44,4,San Diego State,63
2014,2,11,Tennessee,83,14,Mercer,63
2014,2,6,Baylor,85,3,Creighton,55
2014,2,10,Stanford,60,2,Kansas,57
2014,2,1,Arizona,84,8,Gonzaga,61
2014,2,1,Virginia,78,8,Memphis,60
2014,2,6,North Carolina,83,10,Iowa State,85
2014,2,1,Wichita State,76,8,Kentucky,78
2014,2,12,Stephen F. Austin,60,6,UCLA,77
2013,2,6,Memphis,48,3,Michigan State,70
2013,2,6,Butler,72,3,Marquette,74
2013,2,1,Gonzaga,70,9,Wichita State,76
2013,2,12,Oregon,74,4,St. Louis,57
2013,2,1,Louisville,82,8,Colorado State,56
2013,2,5,Virginia Commonwealth,53,4,Michigan,78
2013,2,6,Arizona,74,14,Harvard,51
2013,2,12,California,60,4,Syracuse,66
2013,2,7,Creighton,50,2,Duke,66
2013,2,12,Mississippi,74,13,La Salle,76
2013,2,1,Indiana,58,9,Temple,52
2013,2,7,Illinois,59,2,Miami (Fla.),63
2013,2,7,San Diego State,71,15,Florida Gulf Coast,81
2013,2,10,Iowa State,75,2,Ohio State,78
2013,2,1,Kansas,70,8,North Carolina,58
2013,2,11,Minnesota,64,3,Florida,78
2012,2,11,North Carolina State,66,3,Georgetown,63
2012,2,1,Michigan State,65,9,St. Louis,61
2012,2,1,North Carolina,87,8,Creighton,73
2012,2,7,Florida,84,15,Norfolk State,50
2012,2,12,South Florida,56,13,Ohio,62
2012,2,10,Purdue,60,2,Kansas,63
2012,2,6,Cincinnati,62,3,Florida State,56
2012,2,10,Xavier,70,15,Lehigh,58
2012,2,1,Syracuse,75,8,Kansas State,59
2012,2,7,Gonzaga,66,2,Ohio State,73
2012,2,6,Murray St.,53,3,Marquette,62
2012,2,5,Vanderbilt,57,4,Wisconsin,60
2012,2,12,Virginia Commonwealth,61,4,Indiana,63
2012,2,1,Kentucky,87,8,Iowa State,71
2012,2,11,Colorado,63,3,Baylor,80
2012,2,5,New Mexico,56,4,Louisville,59
2011,2,1,Duke,73,8,Michigan,71
2011,2,7,Washington,83,2,North Carolina,86
2011,2,1,Kansas,73,9,Illinois,59
2011,2,11,Marquette,66,3,Syracuse,62
2011,2,1,Ohio State,98,8,George Mason,66
2011,2,11,Virginia Commonwealth,94,3,Purdue,76
2011,2,5,Arizona,70,4,Texas,69
2011,2,10,Florida State,71,2,Notre Dame,57
2011,2,5,West Virginia,63,4,Kentucky,71
2011,2,7,UCLA,65,2,Florida,73
2011,2,12,Richmond,65,13,Morehead State,48
2011,2,7,Temple,64,2,San Diego State,71
2011,2,11,Gonzaga,67,3,Brigham Young,89
2011,2,6,Cincinnati,58,3,Connecticut,69
2011,2,5,Kansas State,65,4,Wisconsin,70
2011,2,1,Pittsburgh,70,8,Butler,71
2010,2,10,Missouri,59,2,West Virginia,68
2010,2,12,Cornell,87,4,Wisconsin,69
2010,2,6,Xavier,71,3,Pittsburgh,68
2010,2,1,Syracuse,87,8,Gonzaga,65
2010,2,10,Georgia Tech,66,2,Ohio State,75
2010,2,5,Michigan State,85,4,Maryland,83
2010,2,5,Texas A&M,61,4,Purdue,63
2010,2,1,Duke,68,8,California,53
2010,2,10,St. Mary's (Cal.),75,2,Villanova,68
2010,2,7,Brigham Young,72,2,Kansas State,84
2010,2,5,Butler,54,13,Murray St.,52
2010,2,1,Kansas,67,9,Northern Iowa,69
2010,2,1,Kentucky,90,9,Wake Forest,60
2010,2,11,Washington,82,3,New Mexico,64
2010,2,11,Old Dominion,68,3,Baylor,76
2010,2,6,Tennessee,83,14,Ohio,68
2009,2,1,Louisville,79,9,Siena,62
2009,2,10,Southern California,69,2,Michigan State,74
2009,2,12,Arizona,71,13,Cleveland State,57
2009,2,12,Wisconsin,49,4,Xavier,60
2009,2,6,Arizona State,67,3,Syracuse,78
2009,2,11,Dayton,43,3,Kansas,60
2009,2,1,Pittsburgh,84,8,Oklahoma State,76
2009,2,6,Marquette,79,3,Missouri,83
2009,2,6,UCLA,69,3,Villanova,89
2009,2,1,Connecticut,92,9,Texas A&M,66
2009,2,1,North Carolina,84,8,LSU,70
2009,2,5,Purdue,76,4,Washington,74
2009,2,10,Michigan,63,2,Oklahoma,73
2009,2,12,Western Kentucky,81,4,Gonzaga,83
2009,2,7,Texas,69,2,Duke,74
2009,2,10,Maryland,70,2,Memphis,89
2008,2,12,Villanova,84,13,Siena,72
2008,2,12,Western Kentucky,72,13,San Diego,63
2008,2,6,Oklahoma,48,3,Louisville,78
2008,2,7,Miami (Fla.),72,2,Texas,75
2008,2,10,Davidson,74,2,Georgetown,70
2008,2,1,North Carolina,108,9,Arkansas,77
2008,2,1,Memphis,77,8,Mississippi State,74
2008,2,7,Butler,71,2,Tennessee,76
2008,2,6,Marquette,81,3,Stanford,82
2008,2,11,Kansas State,55,3,Wisconsin,72
2008,2,5,Notre Dame,41,4,Washington State,61
2008,2,1,Kansas,75,8,UNLV,56
2008,2,7,West Virginia,73,2,Duke,67
2008,2,1,UCLA,51,9,Texas A&M,49
2008,2,6,Purdue,78,3,Xavier,85
2008,2,5,Michigan State,65,4,Pittsburgh,54
2007,2,7,UNLV,74,2,Wisconsin,68
2007,2,5,Southern California,87,4,Texas,68
2007,2,5,Tennessee,77,4,Virginia,74
2007,2,11,Winthrop,61,3,Oregon,75
2007,2,1,Kansas,88,8,Kentucky,76
2007,2,5,Virginia Tech,48,4,Southern Illinois,63
2007,2,1,Florida,74,9,Purdue,67
2007,2,7,Nevada,62,2,Memphis,78
2007,2,5,Butler,62,4,Maryland,59
2007,2,1,Ohio State,78,9,Xavier,71
2007,2,6,Louisville,69,3,Texas A&M,72
2007,2,1,North Carolina,81,9,Michigan State,67
2007,2,7,Indiana,49,2,UCLA,54
2007,2,6,Vanderbilt,78,3,Washington State,74
2007,2,11,Virginia Commonwealth,79,3,Pittsburgh,84
2007,2,7,Boston College,55,2,Georgetown,62
2006,2,1,Memphis,72,9,Bucknell,56
2006,2,6,West Virginia,67,14,Northwestern State,54
2006,2,7,Georgetown,70,2,Ohio State,52
2006,2,1,Villanova,82,8,Arizona,78
2006,2,11,George Mason,65,3,North Carolina,60
2006,2,1,Connecticut,87,8,Kentucky,83
2006,2,5,Pittsburgh,66,13,Bradley,72
2006,2,10,North Carolina State,54,2,Texas,75
2006,2,11,Milwaukee,60,3,Florida,82
2006,2,12,Texas A&M,57,4,LSU,58
2006,2,1,Duke,70,8,George Washington,64
2006,2,12,Montana,56,4,Boston College,69
2006,2,5,Washington,67,4,Illinois,64
2006,2,7,Wichita State,80,2,Tennessee,73
2006,2,10,Alabama,59,2,UCLA,62
2006,2,6,Indiana,80,3,Gonzaga,90
2005,2,1,North Carolina,92,9,Iowa State,65
2005,2,5,Villanova,76,4,Florida,65
2005,2,6,Wisconsin,71,14,Bucknell,62
2005,2,5,Michigan State,72,13,Vermont,61
2005,2,10,North Carolina State,65,2,Connecticut,62
2005,2,7,Southern Illinois,77,2,Oklahoma State,85
2005,2,1,Duke,63,9,Mississippi State,55
2005,2,5,Georgia Tech,54,4,Louisville,76
2005,2,11,Alabama-Birmingham,63,3,Arizona,85
2005,2,7,West Virginia,111,2,Wake Forest,105
2005,2,12,Milwaukee,85,4,Boston College,63
2005,2,6,Texas Tech,71,3,Gonzaga,69
2005,2,7,Cincinnati,60,2,Kentucky,69
2005,2,6,Utah,67,3,Oklahoma,58
2005,2,1,Illinois,71,9,Nevada,59
2005,2,1,Washington,97,8,Pacific,79
2004,2,6,Boston College,54,3,Georgia Tech,57
2004,2,6,Vanderbilt,75,3,North Carolina State,73
2004,2,7,Xavier,89,2,Mississippi State,74
2004,2,5,Illinois,92,4,Cincinnati,68
2004,2,7,Memphis,53,2,Oklahoma State,70
2004,2,6,Wisconsin,55,3,Pittsburgh,59
2004,2,12,Pacific,63,4,Kansas,78
2004,2,1,Kentucky,75,9,Alabama-Birmingham,76
2004,2,10,Nevada,91,2,Gonzaga,72
2004,2,1,Duke,90,8,Seton Hall,62
2004,2,7,DePaul,55,2,Connecticut,72
2004,2,12,Manhattan,80,4,Wake Forest,84
2004,2,5,Syracuse,72,4,Maryland,70
2004,2,1,Stanford,67,8,Alabama,70
2004,2,1,St. Joseph's,70,8,Texas Tech,65
2004,2,6,North Carolina,75,3,Texas,78
2003,2,5,Wisconsin,61,13,Tulsa,60
2003,2,10,Auburn,68,2,Wake Forest,62
2003,2,6,Oklahoma State,56,3,Syracuse,68
2003,2,12,Butler,79,4,Louisville,71
2003,2,7,Michigan State,68,2,Florida,46
2003,2,6,Maryland,77,3,Xavier,64
2003,2,1,Texas,77,9,Purdue,67
2003,2,7,Indiana,52,2,Pittsburgh,74
2003,2,11,Central Michigan,80,3,Duke,86
2003,2,1,Kentucky,74,9,Utah,54
2003,2,1,Arizona,96,9,Gonzaga,95
2003,2,5,Notre Dame,68,4,Illinois,60
2003,2,10,Arizona State,76,2,Kansas,108
2003,2,5,Connecticut,84,4,Stanford,74
2003,2,1,Oklahoma,74,8,California,65
2003,2,6,Missouri,92,3,Marquette,101
2002,2,11,Wyoming,60,3,Arizona,68
2002,2,12,Creighton,60,4,Illinois,72
2002,2,6,Texas,68,3,Mississippi State,64
2002,2,6,California,50,3,Pittsburgh,63
2002,2,11,Southern Illinois,77,3,Georgia,75
2002,2,7,North Carolina State,74,2,Connecticut,77
2002,2,10,Kent State,71,2,Alabama,58
2002,2,1,Cincinnati,101,8,UCLA,105
2002,2,7,Xavier,65,2,Oklahoma,78
2002,2,1,Maryland,87,8,Wisconsin,57
2002,2,5,Indiana,76,13,UNC Wilmington,67
2002,2,12,Tulsa,82,4,Kentucky,87
2002,2,12,Missouri,83,4,Ohio State,67
2002,2,1,Kansas,86,8,Stanford,63
2002,2,7,Wake Forest,87,2,Oregon,92
2002,2,1,Duke,84,8,Notre Dame,77
2001,2,7,Penn State,82,2,North Carolina,74
2001,2,11,Temple,75,3,Florida,54
2001,2,12,Gonzaga,85,13,Indiana State,68
2001,2,1,Michigan State,81,9,Fresno State,65
2001,2,10,Butler,52,2,Arizona,73
2001,2,6,Notre Dame,56,3,Mississippi,59
2001,2,5,Syracuse,58,4,Kansas,87
2001,2,1,Illinois,79,9,Charlotte,61
2001,2,5,Cincinnati,66,13,Kent State,43
2001,2,11,Georgia State,60,3,Maryland,79
2001,2,1,Stanford,90,9,St. Joseph's,83
2001,2,7,Iowa,79,2,Kentucky,92
2001,2,1,Duke,94,9,Missouri,81
2001,2,6,Southern California,74,3,Boston College,71
2001,2,12,Utah State,50,4,UCLA,75
2001,2,10,Georgetown,76,15,Hampton,57
2000,2,1,Duke,69,8,Kansas,64
2000,2,6,Miami (Fla.),75,3,Ohio State,62
2000,2,5,Connecticut,61,4,Tennessee,65
2000,2,1,Stanford,53,8,North Carolina,60
2000,2,10,Seton Hall,67,2,Temple,65
2000,2,11,Pepperdine,67,3,Oklahoma State,75
2000,2,5,Florida,93,4,Illinois,76
2000,2,7,Tulsa,69,2,Cincinnati,61
2000,2,5,Kentucky,50,4,Syracuse,52
2000,2,10,Gonzaga,82,2,St. John's,76
2000,2,6,Purdue,66,3,Oklahoma,62
2000,2,5,Texas,67,4,LSU,72
2000,2,1,Arizona,59,8,Wisconsin,66
2000,2,7,Auburn,60,2,Iowa State,79
2000,2,6,UCLA,105,3,Maryland,70
2000,2,1,Michigan State,73,8,Utah,61
1999,2,5,Charlotte,72,13,Oklahoma,85
1999,2,6,Temple,64,3,Cincinnati,54
1999,2,10,Miami (Ohio),66,2,Utah,58
1999,2,1,Michigan State,74,9,Mississippi,66
1999,2,12,Missouri State,81,4,Tennessee,51
1999,2,1,Duke,97,9,Tulsa,56
1999,2,6,Kansas,88,3,Kentucky,92
1999,2,10,Purdue,73,2,Miami (Fla.),63
1999,2,6,Florida,82,14,Weber State,74
1999,2,5,Iowa,82,4,Arkansas,72
1999,2,1,Connecticut,78,9,New Mexico,56
1999,2,12,Detroit,44,4,Ohio State,75
1999,2,10,Gonzaga,82,2,Stanford,74
1999,2,6,Indiana,61,3,St. John's,86
1999,2,1,Auburn,81,9,Oklahoma State,74
1999,2,10,Creighton,63,2,Maryland,75
1998,2,12,Florida State,77,13,Valparaiso,83
1998,2,5,Syracuse,56,4,New Mexico,46
1998,2,1,Duke,79,8,Oklahoma State,73
1998,2,10,Detroit,65,2,Purdue,80
1998,2,1,Kansas,75,8,Rhode Island,80
1998,2,11,Western Michigan,65,3,Stanford,83
1998,2,10,St. Louis,61,2,Kentucky,88
1998,2,6,UCLA,85,3,Michigan,82
1998,2,6,Arkansas,69,3,Utah,75
1998,2,10,West Virginia,75,2,Cincinnati,74
1998,2,1,North Carolina,93,8,Charlotte,83
1998,2,7,Indiana,61,2,Connecticut,78
1998,2,5,Princeton,51,4,Michigan State,63
1998,2,11,Washington,81,14,Richmond,66
1998,2,1,Arizona,82,9,Illinois State,49
1998,2,5,Illinois,61,4,Maryland,67
1997,2,10,Providence,98,2,Duke,87
1997,2,6,Stanford,72,3,Wake Forest,66
1997,2,7,Charlotte,58,2,Utah,77
1997,2,1,Minnesota,76,9,Temple,57
1997,2,5,Tulsa,59,4,Clemson,65
1997,2,6,Louisville,64,3,New Mexico,63
1997,2,10,Texas,82,15,Coppin State,81
1997,2,6,Illinois,63,14,Chattanooga,75
1997,2,5,California,75,4,Villanova,68
1997,2,6,Iowa State,67,3,Cincinnati,66
1997,2,7,Xavier,83,2,UCLA,96
1997,2,1,Kentucky,75,8,Iowa,69
1997,2,5,Boston College,77,4,St. Joseph's,81
1997,2,1,Kansas,75,8,Purdue,61
1997,2,12,College of Charleston,69,4,Arizona,73
1997,2,1,North Carolina,73,9,Colorado,56
1996,2,7,Temple,65,2,Cincinnati,78
1996,2,10,Santa Clara,51,2,Kansas,76
1996,2,6,Iowa,73,3,Arizona,87
1996,2,10,Texas,62,2,Wake Forest,65
1996,2,11,Boston College,89,3,Georgia Tech,103
1996,2,6,Louisville,68,3,Villanova,64
1996,2,7,New Mexico,62,2,Georgetown,73
1996,2,6,North Carolina,73,3,Texas Tech,92
1996,2,1,Purdue,69,8,Georgia,76
1996,2,5,Iowa State,67,4,Utah,73
1996,2,1,Kentucky,84,9,Virginia Tech,60
1996,2,12,Drexel,58,4,Syracuse,69
1996,2,1,Massachusetts,79,9,Stanford,74
1996,2,12,Arkansas,65,4,Marquette,56
1996,2,5,Mississippi State,63,13,Princeton,41
1996,2,1,Connecticut,95,9,Eastern Michigan,81
1995,2,1,UCLA,75,8,Missouri,74
1995,2,6,Georgetown,53,14,Weber State,51
1995,2,6,Memphis,75,3,Purdue,73
1995,2,10,Stanford,53,2,Massachusetts,75
1995,2,7,Syracuse,94,2,Arkansas,96
1995,2,5,Mississippi State,78,4,Utah,64
1995,2,6,Tulsa,64,14,Old Dominion,52
1995,2,7,Iowa State,51,2,North Carolina,73
1995,2,5,Alabama,52,4,Oklahoma State,66
1995,2,1,Kentucky,82,9,Tulane,60
1995,2,1,Kansas,75,8,Western Kentucky,70
1995,2,12,Miami (Ohio),54,4,Virginia,60
1995,2,1,Wake Forest,64,9,St. Louis,59
1995,2,5,Arizona State,64,13,Manhattan,54
1995,2,7,Cincinnati,91,2,Connecticut,96
1995,2,11,Texas,68,3,Maryland,82
1994,2,12,Tulsa,82,4,Oklahoma State,80
1994,2,7,Michigan State,74,2,Duke,85
1994,2,6,Minnesota,55,3,Louisville,60
1994,2,5,Indiana,67,4,Temple,58
1994,2,1,North Carolina,72,9,Boston College,75
1994,2,1,Arkansas,85,9,Georgetown,73
1994,2,7,Virginia,58,2,Arizona,71
1994,2,6,Marquette,75,3,Kentucky,63
1994,2,6,Texas,79,3,Michigan,84
1994,2,12,Green Bay,59,4,Syracuse,64
1994,2,10,Maryland,95,2,Massachusetts,87
1994,2,1,Missouri,109,9,Wisconsin,96
1994,2,11,Penn,58,3,Florida,70
1994,2,10,George Washington,63,2,Connecticut,75
1994,2,1,Purdue,83,9,Alabama,73
1994,2,5,Wake Forest,58,4,Kansas,69
1993,2,1,Kentucky,83,8,Utah,62
1993,2,5,Oklahoma State,63,4,Louisville,78
1993,2,1,Indiana,73,9,Xavier,70
1993,2,7,New Mexico State,55,2,Cincinnati,92
1993,2,6,Virginia,71,3,Massachusetts,56
1993,2,12,George Washington,90,13,Southern,80
1993,2,1,Michigan,86,9,UCLA,84
1993,2,5,Wake Forest,84,4,Iowa,78
1993,2,7,Temple,68,15,Santa Clara,57
1993,2,6,California,82,3,Duke,77
1993,2,6,Illinois,68,3,Vanderbilt,85
1993,2,11,Tulane,63,3,Florida State,94
1993,2,7,Brigham Young,76,2,Kansas,90
1993,2,7,Western Kentucky,72,2,Seton Hall,68
1993,2,5,St. John's,74,4,Arkansas,80
1993,2,1,North Carolina,112,8,Rhode Island,67
1992,2,6,Michigan,102,14,East Tennessee State,90
1992,2,6,Syracuse,71,3,Massachusetts,77
1992,2,10,Iowa State,98,2,Kentucky,106
1992,2,1,UCLA,85,8,Louisville,69
1992,2,12,New Mexico State,81,13,Louisiana-Lafayette,73
1992,2,1,Kansas,60,9,UTEP,66
1992,2,5,Michigan State,65,4,Cincinnati,77
1992,2,10,Tulane,71,2,Oklahoma State,87
1992,2,5,Missouri,71,4,Seton Hall,88
1992,2,1,Ohio State,78,9,Connecticut,55
1992,2,5,Alabama,55,4,North Carolina,64
1992,2,6,Memphis,82,3,Arkansas,80
1992,2,7,Georgia Tech,79,2,Southern California,78
1992,2,7,LSU,79,2,Indiana,89
1992,2,1,Duke,75,9,Iowa,62
1992,2,6,Georgetown,68,3,Florida State,78
1991,2,5,Michigan State,84,4,Utah,85
1991,2,1,Arkansas,97,8,Arizona State,90
1991,2,12,Eastern Michigan,71,13,Penn State,68
1991,2,1,North Carolina,84,9,Villanova,69
1991,2,5,Texas,76,4,St. John's,84
1991,2,1,Ohio State,65,8,Georgia Tech,61
1991,2,5,Wake Forest,88,4,Alabama,96
1991,2,1,UNLV,62,8,Georgetown,54
1991,2,11,Creighton,69,3,Seton Hall,81
1991,2,6,Pittsburgh,66,3,Kansas,77
1991,2,7,Florida State,60,2,Indiana,82
1991,2,6,North Carolina State,64,3,Oklahoma State,73
1991,2,10,Temple,77,15,Richmond,64
1991,2,11,Connecticut,66,14,Xavier,50
1991,2,7,Iowa,70,2,Duke,85
1991,2,10,Brigham Young,69,2,Arizona,81
1990,2,10,Texas,73,2,Purdue,72
1990,2,6,Xavier,74,3,Georgetown,71
1990,2,7,UCLA,71,2,Kansas,70
1990,2,6,St. John's,72,3,Duke,76
1990,2,7,Alabama,77,2,Arizona,55
1990,2,7,Virginia,61,2,Syracuse,63
1990,2,11,Loyola Marymount,149,3,Michigan,115
1990,2,1,UNLV,76,8,Ohio State,65
1990,2,6,Minnesota,81,14,Northern Iowa,78
1990,2,5,LSU,91,4,Georgia Tech,94
1990,2,12,Ball State,62,4,Louisville,60
1990,2,1,Connecticut,74,9,California,54
1990,2,5,Clemson,79,4,La Salle,75
1990,2,1,Oklahoma,77,8,North Carolina,79
1990,2,12,Dayton,84,4,Arkansas,86
1990,2,1,Michigan State,62,9,UC Santa Barbara,58
1989,2,7,UCLA,81,2,North Carolina,88
1989,2,11,Texas,89,3,Missouri,108
1989,2,11,South Alabama,82,3,Michigan,91
1989,2,5,North Carolina State,102,4,Iowa,96
1989,2,10,Colorado State,50,2,Syracuse,65
1989,2,1,Georgetown,81,9,Notre Dame,74
1989,2,11,Evansville,73,3,Seton Hall,87
1989,2,7,UTEP,69,2,Indiana,92
1989,2,1,Illinois,72,9,Ball State,60
1989,2,12,DePaul,70,4,UNLV,85
1989,2,1,Arizona,94,9,Clemson,68
1989,2,7,West Virginia,63,2,Duke,70
1989,2,11,Minnesota,80,14,Siena,67
1989,2,5,Virginia,104,13,Middle Tennessee State,88
1989,2,1,Oklahoma,124,9,Louisiana Tech,81
1989,2,5,Arkansas,84,4,Louisville,93
1988,2,5,Iowa,104,4,UNLV,86
1988,2,5,Georgia Tech,55,13,Richmond,59
1988,2,7,Maryland,81,2,Kentucky,90
1988,2,1,Arizona,84,8,Seton Hall,55
1988,2,6,Villanova,66,3,Illinois,63
1988,2,1,Temple,74,8,Georgetown,53
1988,2,6,Kansas,61,14,Murray St.,58
1988,2,5,DePaul,58,4,Kansas State,66
1988,2,1,Purdue,100,9,Memphis,73
1988,2,5,Louisville,97,4,Brigham Young,76
1988,2,6,Florida,85,3,Michigan,108
1988,2,1,Oklahoma,107,8,Auburn,87
1988,2,11,Rhode Island,97,3,Syracuse,94
1988,2,10,Loyola Marymount,97,2,North Carolina,123
1988,2,7,Southern Methodist,79,2,Duke,94
1988,2,7,Vanderbilt,80,2,Pittsburgh,74
1987,2,6,St. John's,75,3,DePaul,83
1987,2,7,UTEP,82,2,Iowa,84
1987,2,10,Western Kentucky,86,2,Syracuse,104
1987,2,6,Oklahoma,96,3,Pittsburgh,93
1987,2,10,LSU,72,2,Temple,62
1987,2,1,Georgetown,82,9,Ohio State,79
1987,2,6,Florida,85,3,Purdue,66
1987,2,5,Kansas,67,13,Missouri State,63
1987,2,6,Providence,90,14,Austin Peay,87
1987,2,12,Wyoming,78,4,UCLA,68
1987,2,1,UNLV,80,9,Kansas State,61
1987,2,1,North Carolina,109,9,Michigan,97
1987,2,7,New Orleans,76,2,Alabama,101
1987,2,5,Notre Dame,58,4,TCU,57
1987,2,5,Duke,65,13,Xavier,60
1987,2,1,Indiana,107,8,Auburn,90
1986,2,1,St. John's,65,8,Auburn,81
1986,2,7,Navy,97,2,Syracuse,85
1986,2,5,Alabama,58,4,Illinois,56
1986,2,1,Kentucky,71,8,Western Kentucky,64
1986,2,6,North Carolina State,80,14,Arkansas-Little Rock,66
1986,2,7,Iowa State,72,2,Michigan,69
1986,2,6,St. Joseph's,69,14,Cleveland State,75
1986,2,5,Maryland,64,4,UNLV,70
1986,2,6,Alabama-Birmingham,59,3,North Carolina,77
1986,2,11,LSU,83,3,Memphis,81
1986,2,1,Duke,89,8,Old Dominion,61
1986,2,12,DePaul,74,4,Oklahoma,69
1986,2,1,Kansas,65,9,Temple,43
1986,2,5,Michigan State,80,4,Georgetown,68
1986,2,10,Villanova,61,2,Georgia Tech,66
1986,2,7,Bradley,68,2,Louisville,82
1985,2,11,UTEP,73,3,North Carolina State,86
1985,2,7,Syracuse,53,2,Georgia Tech,70
1985,2,7,Alabama-Birmingham,66,2,Memphis,67
1985,2,7,Alabama,63,2,Virginia Commonwealth,59
1985,2,6,Georgia,58,3,Illinois,74
1985,2,11,Boston College,74,3,Duke,73
1985,2,1,Michigan,55,8,Villanova,59
1985,2,5,Maryland,64,13,Navy,59
1985,2,1,Oklahoma,75,9,Illinois State,69
1985,2,1,Georgetown,63,8,Temple,46
1985,2,7,Notre Dame,58,2,North Carolina,60
1985,2,5,Southern Methodist,57,4,Loyola (Ill.),70
1985,2,12,Kentucky,64,4,UNLV,61
1985,2,1,St. John's,68,9,Arkansas,65
1985,2,11,Auburn,66,3,Kansas,64
1985,2,5,Louisiana Tech,79,4,Ohio State,67
2017,3,8,Wisconsin,83,4,Florida,84
2017,3,3,Baylor,50,7,South Carolina,70
2017,3,1,Kansas,98,4,Purdue,66
2017,3,3,Oregon,69,7,Michigan,68
2017,3,1,Gonzaga,61,4,West Virginia,58
2017,3,11,Xavier,73,2,Arizona,71
2017,3,1,North Carolina,92,4,Butler,80
2017,3,3,UCLA,75,2,Kentucky,86
2016,3,1,Oregon,82,4,Duke,68
2016,3,3,Texas A&M,63,2,Oklahoma,77
2016,3,1,Virginia,84,4,Iowa State,71
2016,3,11,Gonzaga,60,10,Syracuse,63
2016,3,1,Kansas,79,5,Maryland,63
2016,3,3,Miami (Fla.),69,2,Villanova,92
2016,3,1,North Carolina,101,5,Indiana,86
2016,3,6,Notre Dame,61,7,Wisconsin,56
2015,3,11,UCLA,62,2,Gonzaga,74
2015,3,1,Kentucky,78,5,West Virginia,39
2015,3,6,Xavier,60,2,Arizona,68
2015,3,8,North Carolina State,65,4,Louisville,75
2015,3,1,Duke,63,5,Utah,57
2015,3,1,Wisconsin,79,4,North Carolina,72
2015,3,3,Notre Dame,81,7,Wichita State,70
2015,3,3,Oklahoma,58,7,Michigan State,62
2014,3,1,Florida,79,4,UCLA,68
2014,3,8,Kentucky,74,4,Louisville,69
2014,3,11,Tennessee,71,2,Michigan,73
2014,3,1,Arizona,70,4,San Diego State,64
2014,3,11,Dayton,82,10,Stanford,72
2014,3,6,Baylor,52,2,Wisconsin,69
2014,3,1,Virginia,59,4,Michigan State,61
2014,3,3,Iowa State,76,7,Connecticut,81
