Year,Team,Conf,Seed,Wins,Losses,KenPom,AdjEM,AdjO,AdjD,AdjT,Luck,SOS AdjEM,OppO,OppD,NCSOS AdjEM,AdjO_rank,AdjD_rank,AdjT_rank,Luck_rank,SOS AdjEM_rank,OppO_rank,OppD_rank,NCSOS AdjEM_rank
2018,Virginia,ACC,1,31,2,1,32.07,116.4,84.3,59.2,0.032,9.85,110.6,100.8,0.31,23,1,351,97,25,28,27,154
2018,Villanova,BE,1,31,4,2,31.69,127.6,95.9,68.4,-0.02,9.95,110.9,100.9,4.15,1,26,166,233,24,24,28,59
2018,Duke,ACC,2,27,7,3,29.15,122.6,93.4,69.9,-0.029,10.35,110.6,100.3,4.39,3,7,85,260,18,29,14,55
2018,Cincinnati,Amer,2,30,4,4,27.07,113.2,86.1,64.7,-0.004,3.23,106.8,103.6,-3.97,52,2,323,185,85,98,89,290
2018,Purdue,B10,2,28,6,5,26.64,123.3,96.6,67.3,0.003,8.46,109,100.5,0.87,2,32,218,167,45,58,21,145
2018,Michigan St.,B10,3,29,4,6,26.31,119.9,93.6,67.2,0.048,6.39,108.8,102.4,-4.83,10,9,221,67,63,62,68,302
2018,North Carolina,ACC,2,25,10,7,24.96,121.8,96.9,71,-0.019,13.89,112.2,98.3,7.99,5,35,50,230,1,1,1,14
2018,Gonzaga,WCC,4,31,4,8,24.41,119.1,94.7,69.2,0.002,1.22,106.4,105.2,3.26,12,14,116,171,119,107,142,81
2018,Michigan,B10,3,29,7,9,23.44,115.2,91.7,64.5,0.037,8.73,110.8,102.1,-4.52,35,3,332,85,43,25,65,299
2018,Kansas,B12,1,28,7,10,23.36,120.8,97.4,68.4,0.06,11.17,111.2,100,3.62,6,43,164,53,9,17,11,76
2018,Tennessee,SEC,3,26,8,11,22.92,114.9,91.9,66.2,0.036,11.51,111.8,100.3,7.61,38,5,272,87,6,4,15,19
2018,Texas Tech,B12,3,25,9,12,21.95,113.7,91.8,66.6,-0.016,9.09,110,100.9,-5.08,46,4,254,220,37,41,30,310
2018,West Virginia,B12,5,24,10,13,21.83,119.1,97.3,69.1,-0.009,10.48,109.8,99.3,-4.35,13,41,118,201,15,43,2,297
2018,Xavier,BE,1,28,5,14,21.75,120.6,98.9,70.4,0.109,9.59,110.1,100.5,2.04,7,59,64,8,32,39,19,106
2018,Ohio St.,B10,5,25,8,15,21.06,115.8,94.8,66.7,0.033,8.13,109.6,101.5,0.4,26,17,247,95,51,44,52,152
2018,Auburn,SEC,4,25,7,16,21,118.2,97.2,72.3,-0.012,7.82,109.1,101.3,-1.56,15,39,21,206,55,54,44,205
2018,Kentucky,SEC,5,25,10,17,20.7,116.4,95.7,68.8,0.006,11.43,111.2,99.7,4.84,25,23,143,158,7,18,7,46
2018,Houston,Amer,6,27,7,18,20.47,115.2,94.7,68.4,0.001,3.78,106.7,102.9,-2.69,34,15,167,174,81,101,75,247
2018,Clemson,ACC,5,23,9,19,20.21,113.7,93.5,65.6,0.004,9.63,110.6,101,-1.57,47,8,297,162,31,30,33,206
2018,Wichita St.,Amer,4,25,7,20,20.07,122,101.9,68.6,-0.015,5.49,107.6,102.1,1.89,4,109,153,217,71,76,60,110
2018,Florida,SEC,6,21,12,21,19.37,114.8,95.5,67.1,-0.046,10.92,110.7,99.8,4.44,40,19,226,287,12,27,8,54
2018,TCU,B12,6,21,11,22,18.94,120.6,101.7,68.7,-0.058,9.75,111.2,101.4,-0.58,8,105,146,308,29,16,48,179
2018,Nevada,MWC,7,27,7,23,18.07,119.8,101.7,69.5,-0.028,4.28,107,102.7,4.09,11,106,100,259,79,92,72,63
2018,Butler,BE,10,20,13,24,17.93,115.6,97.7,67.9,-0.037,10.57,111.7,101.2,0.18,29,48,191,274,14,6,41,158
2018,Saint Mary's,WCC,,29,5,25,17.93,120.1,102.1,63.7,0.004,-1.8,104.2,106,-3.87,9,111,341,160,188,194,191,287
2018,Seton Hall,BE,8,22,11,26,17.78,116.9,99.1,69.4,-0.016,9.7,110.4,100.7,0.25,19,63,105,222,30,32,24,156
2018,Arizona,P12,4,27,8,27,17.61,118.2,100.6,67.1,0.036,6.07,108.7,102.6,2.63,16,87,222,86,68,63,70,87
2018,Creighton,BE,8,21,11,28,17.3,116.4,99.1,70.9,-0.018,9.16,110.9,101.8,-4,24,62,55,228,35,21,55,291
2018,Texas A&M,SEC,7,20,12,29,17.15,111.2,94,69,-0.007,11.52,112,100.5,5.24,69,12,121,193,5,2,20,36
2018,Penn St.,B10,,22,13,30,16.87,112.3,95.5,67.5,-0.069,6.46,109.2,102.7,-6.26,58,20,207,328,61,53,71,324
2018,Notre Dame,ACC,,21,14,31,16.59,115.5,98.9,65.3,-0.052,8.79,110.2,101.4,-1.35,31,57,312,299,42,37,47,194
2018,Baylor,B12,,19,14,32,16.42,111,94.6,66.7,-0.065,10.4,111.5,101.1,-3.43,71,13,245,320,16,10,39,276
2018,Louisville,ACC,,21,13,33,16.34,112.2,95.9,69.7,-0.012,9.06,110.1,101.1,-2.36,59,25,91,207,38,38,37,233
2018,Virginia Tech,ACC,8,21,12,34,16.3,115.6,99.3,68.7,-0.018,8.28,109.6,101.3,-9.51,30,66,148,229,48,45,45,343
2018,Arkansas,SEC,7,23,11,35,15.89,117.4,101.5,69.7,0.062,10.34,110.9,100.5,1.18,17,100,92,43,19,22,22,136
2018,Florida St.,ACC,9,20,11,36,15.71,115.7,100,71.6,-0.032,7.81,108.8,101,-6.66,27,78,32,265,56,61,35,330
2018,Missouri,SEC,8,20,12,37,15.69,113.2,97.6,65.6,-0.021,9.77,110,100.3,1.15,50,46,298,236,27,40,13,138
2018,Texas,B12,10,19,14,38,15.54,109.3,93.8,65.2,-0.018,11.79,111.5,99.7,2.3,94,11,316,225,3,9,6,97
2018,Miami FL,ACC,6,22,10,39,15.47,112.9,97.5,67,0.017,8.27,109.5,101.2,-3.56,55,44,231,129,49,47,43,281
2018,Loyola Chicago,MVC,11,29,5,40,15.3,111.3,96,65.2,0.066,0.51,103.9,103.4,-5.52,67,27,314,35,132,214,85,315
2018,Middle Tennessee,CUSA,,25,7,41,15.2,111.2,96.1,66.6,-0.003,3.11,107.5,104.4,8.29,68,28,251,182,89,81,113,13
2018,Davidson,A10,12,21,12,42,14.93,117.3,102.4,64.5,-0.063,2.48,106,103.5,1.77,18,116,331,318,100,116,87,115
2018,Kansas St.,B12,9,22,11,43,14.77,112.1,97.3,65.6,0.056,9.15,111.2,102.1,-6.2,60,42,303,58,36,15,59,323
2018,Rhode Island,A10,7,26,7,44,14.69,111.6,97,68.4,0.043,3.11,107.5,104.4,4.12,62,37,165,69,88,80,115,62
2018,Maryland,B10,,19,13,45,14.63,114.1,99.5,66.3,-0.046,7.96,108.9,100.9,-4.55,43,68,266,289,52,59,32,300
2018,North Carolina St.,ACC,9,21,12,46,14.54,116.5,102,71.4,-0.001,7.85,108.9,101.1,-9.47,22,110,40,179,54,60,36,342
2018,USC,P12,,24,11,47,14.39,114.7,100.4,67.7,-0.005,5.18,108.4,103.2,1.81,41,84,199,188,74,69,81,114
2018,Alabama,SEC,9,20,15,48,14.32,109.3,95,68.8,0.011,11.38,111.1,99.7,3.05,95,18,141,144,8,20,5,84
2018,Oklahoma,B12,10,18,14,49,14.29,114.8,100.6,75.5,-0.008,12.07,111.7,99.6,2.39,39,86,4,199,2,7,4,96
2018,San Diego St.,MWC,11,22,11,50,14.13,110.7,96.6,68.8,-0.032,3.72,107.6,103.8,-0.34,76,31,144,263,82,77,94,173
2018,Arizona St.,P12,11,20,12,51,14.03,116.8,102.8,71.3,-0.083,5.6,107.7,102.1,1.39,20,125,43,340,69,75,63,127
